"","x"
"1851",34376
"1852",34377
"1853",34420
"1854",34425
"1855",34471
"1856",34472
"1857",34482
"1858",34523
"1859",34524
"1860",34534
"1861",34535
"1862",34537
"1863",34545
"1864",34548
"1865",34549
"1866",34583
"1867",34585
"1868",34589
"1869",34625
"1870",34632
"1871",34636
"1872",34640
"1873",34686
"1874",34749
"1875",34802
"1876",34857
"1877",34897
"1878",34899
"1879",34906
"1880",34908
"1881",34911
"1882",34913
"1883",34914
"1884",34949
"1885",34963
"1886",35274
"1887",35520
"1888",35531
"1889",35535
"1890",35626
"1891",35633
"1892",35746
"1893",35748
"1894",35749
"1895",35775
"1896",35777
"1897",35790
"1898",35791
"1899",35794
"1900",35796
"1901",35797
"1902",35803
"1903",35826
"1904",35841
"1905",35842
"1906",35889
"1907",35948
"1908",35951
"1909",35975
"1910",35993
"1911",36000
"1912",36003
"1913",36033
"1914",36036
"1915",36037
"1916",36064
"1917",36082
"1918",36094
"1919",36095
"1920",36115
"1921",36122
"1922",36324
"1923",36447
"1924",36570
"1925",36579
"1926",36580
"1927",36623
"1928",36642
"1929",36643
"1930",36645
"1931",36696
"1932",36711
"1933",36736
"1934",36737
"1935",36760
"1936",36778
"1937",36845
"1938",36857
"1939",36891
"1940",36912
"1941",36982
"1942",36983
"1943",36999
"1944",37036
"1945",37037
"1946",37052
"1947",37063
"1948",37077
"1949",37087
"1950",37088
"1951",37089
"1952",37091
"1953",37110
"1954",37123
"1955",37124
"1956",37125
"1957",37134
"1958",37146
"1959",37148
"1960",37149
"1961",37160
"1962",37161
"1963",37173
"1964",37174
"1965",37191
"1966",37194
"1967",37220
"1968",37239
"1969",37243
"1970",37261
"1971",37266
"1972",37297
"1973",37313
"1974",37317
"1975",37319
"1976",37322
"1977",37329
"1978",37343
"1979",37350
"1980",37366
"1981",37379
"1982",37381
"1983",37382
"1984",37385
"1985",37387
"1986",37388
"1987",37398
"1988",37403
"1989",37404
"1990",37435
"1991",37436
"1992",37468
"1993",37469
"1994",37470
"1995",37513
"1996",37514
"1997",37523
"1998",37576
"1999",37604
"2000",37607
"2001",37608
"2002",37639
"2003",37644
"2004",37650
"2005",37671
"2006",37676
"2007",37714
"2008",37719
"2009",37806
"2010",37807
"2011",37845
"2012",37846
"2013",37847
"2014",37856
"2015",37864
"2016",37872
"2017",37880
"2018",37882
"2019",37883
"2020",37891
"2021",37917
"2022",37919
"2023",37927
"2024",37940
"2025",37943
"2026",37954
"2027",37961
"2028",37970
"2029",37971
"2030",37972
"2031",37973
"2032",37974
"2033",37992
"2034",38001
"2035",38003
"2036",38038
"2037",38041
"2038",38050
"2039",38080
"2040",38097
"2041",38098
"2042",38107
"2043",38126
"2044",38151
"2045",38159
"2046",38204
"2047",38209
"2048",38264
"2049",38266
"2050",38268
"2051",38269
"2052",38300
"2053",38317
"2054",38325
"2055",38327
"2056",38338
"2057",38339
"2058",38340
"2059",38378
"2060",38383
"2061",38387
"2062",38502
"2063",38608
"2064",38617
"2065",38665
"2066",38670
"2067",38710
"2068",38711
"2069",38714
"2070",38721
"2071",38722
"2072",38759
"2073",38760
"2074",38766
"2075",38769
"2076",39103
"2077",39158
"2078",39164
"2079",39167
"2080",39168
"2081",39260
"2082",39299
"2083",39441
"2084",39442
"2085",39458
"2086",39487
"2087",39488
"2088",39508
"2089",39514
"2090",39522
"2091",39534
"2092",39561
"2093",39566
"2094",39584
"2095",39665
"2096",39687
"2097",39732
"2098",39734
"2099",39758
"2100",39770
"2101",39816
"2102",39825
"2103",39856
"2104",39881
"2105",39909
"2106",39923
"2107",39938
"2108",39990
"2109",40076
"2110",40120
"2111",40184
"2112",40198
"2113",40200
"2114",40327
"2115",40391
"2116",40448
"2117",40521
"2118",40523
"2119",40576
"2120",40641
"2121",40652
"2122",40706
"2123",40707
"2124",40718
"2125",40723
"2126",40724
"2127",40749
"2128",40772
"2129",40792
"2130",40901
"2131",40908
"2132",40932
"2133",40933
"2134",40966
"2135",40986
"2136",40988
"2137",40991
